Title,Metascore,Awards,rate
The League of Extraordinary Gentlemen,30,6,6
The Matrix Reloaded,62,28,8
The Matrix Revolutions,47,23,7
National Security,31,0,6
Once Upon a Time in Mexico,56,7,7
Paycheck,43,4,7
The Rundown,59,5,7
Shanghai Knights,58,4,7
S.W.A.T.,45,9,6
Tears of the Sun,48,2,7
Timeline,28,0,6
Underworld,42,9,7
AVP: Alien vs. Predator,29,6,6
Anacondas: The Hunt for the Blood Orchid,40,1,5
Blade: Trinity,38,1,6
The Bourne Supremacy,73,26,8
Catwoman,27,13,4
Hellboy,72,25,7
Man on Fire,47,8,8
The Punisher,33,6,7
Sky Captain and the World of Tomorrow,64,24,7
Spider-Man 2,83,75,8
Taxi,27,8,5
Torque,41,4,4
Van Helsing,35,19,6
Walking Tall,44,2,7
Assault on Precinct 13,54,3,7
Batman Begins,70,82,9
Constantine,50,11,7
Domino,36,2,6
The Dukes of Hazzard,33,19,6
Elektra,34,2,5
Fantastic Four,40,15,6
Four Brothers,49,14,7
Hostage,44,4,7
Into the Blue,45,3,6
The Island,50,7,7
The Legend of Zorro,47,5,6
The Promise,53,8,6
Sahara,41,7,6
Serenity,74,17,8
Stealth,35,2,5
War of the Worlds,73,56,7
xXx: State of the Union,37,1,5
Apocalypto,68,28,8
Children of Men,84,113,8
Crank,57,4,7
DOA: Dead or Alive,38,1,5
The Fast and the Furious: Tokyo Drift,46,4,6
Firewall,45,3,6
The Guardian,53,5,7
The Marine,45,0,5
Miami Vice,65,10,6
Mission: Impossible III,66,21,7
Poseidon,50,7,6
Smokin' Aces,45,4,7
Snakes on a Plane,58,10,6
Superman Returns,72,51,7
Ultraviolet,18,2,5
Underworld: Evolution,36,8,7
X-Men: The Last Stand,58,43,7
Aliens vs. Predator: Requiem,29,4,5
The Bourne Ultimatum,85,66,9
The Condemned,23,1,7
Fantastic Four: Rise of the Silver Surfer,45,16,6
Ghost Rider,35,8,6
Hitman,35,2,7
Live Free or Die Hard,69,19,8
Redline,24,1,4
Rush Hour 3,44,9,7
Shoot 'Em Up,49,3,7
Spider-Man 3,59,35,7
TMNT,41,2,7
Transformers,61,62,8
War,36,0,7
Bangkok Dangerous,24,1,6
The Dark Knight,82,96,9
Death Race,43,6,7
Eagle Eye,43,11,7
The Forbidden Kingdom,57,4,7
Get Smart,54,8,7
Hancock,49,15,7
Hellboy II: The Golden Army,78,31,7
Hell Ride,25,1,6
The Hurt Locker,94,55,8
Indiana Jones and the Kingdom of the Crystal Skull,65,44,7
The Incredible Hulk,61,9,7
Iron Man,79,81,8
Max Payne,31,1,6
Never Back Down,39,1,7
Outlander,40,1,7
Pineapple Express,64,16,7
Quantum of Solace,58,35,7
Rambo,46,2,8
Redbelt,69,1,7
Tropic Thunder,71,49,7
12 Rounds,38,0,6
Avatar,83,105,8
Bitch Slap,19,0,5
Black Dynamite,65,5,8
Crank: High Voltage,41,3,7
District 9,81,126,8
Echelon Conspiracy,26,0,6
Fast & Furious,45,6,7
Fighting,61,1,6
Gamer,27,1,6
G.I. Joe: The Rise of Cobra,32,17,6
Ninja Assassin,34,0,7
Paul Blart: Mall Cop,39,4,6
Push,36,3,7
Sherlock Holmes,57,36,8
Star Trek,82,101,8
Street Fighter: The Legend of Chun-Li,17,0,4
Surrogates,45,0,7
Terminator Salvation,49,11,7
Transformers: Revenge of the Fallen,35,39,6
Underworld: Rise of the Lycans,44,0,7
X-Men Origins: Wolverine,40,16,7
The Beach,43,7,7
Cast Away,73,50,8
Chicken Run,88,50,7
Dinosaur,56,24,7
Mission to Mars,34,1,6
The Perfect Storm,59,30,7
Red Planet,34,1,6
The Road to El Dorado,51,13,7
Supernova,19,0,5
Titan A.E.,48,8,7
U-571,62,13,7
Atlantis: The Lost Empire,52,17,7
Black Knight,32,2,5
Final Fantasy: The Spirits Within,49,10,7
Jimmy Neutron: Boy Genius,65,6,6
A Knight's Tale,54,14,7
Lara Croft: Tomb Raider,33,18,6
The Lord of the Rings: The Fellowship of the Ring,92,55,9
The Mummy Returns,48,20,7
The Musketeer,27,0,5
Spy Kids,71,12,6
Below,55,2,7
The Count of Monte Cristo,61,0,8
The Four Feathers,49,0,7
Harry Potter and the Chamber of Secrets,63,53,8
Ice Age,60,34,8
The Lord of the Rings: The Two Towers,88,65,9
The Scorpion King,45,5,6
Snow Dogs,29,1,6
Treasure Planet,60,15,8
Agent Cody Banks,41,4,5
Finding Nemo,90,104,9
The Jungle Book 2,38,10,6
Kangaroo Jack,16,6,5
Lara Croft Tomb Raider: The Cradle of Life,43,3,6
The Lord of the Rings: The Return of the King,94,121,9
Master and Commander: The Far Side of the World,81,100,8
Pirates of the Caribbean: The Curse of the Black Pearl,63,122,9
The Rundown,59,5,7
Sinbad: Legend of the Seven Seas,48,8,7
Spy Kids 3-D: Game Over,57,4,5
Catch That Kid,33,1,6
The Chronicles of Riddick,38,4,7
Harry Potter and the Prisoner of Azkaban,82,56,8
Hidalgo,54,3,7
The Incredibles,90,114,8
King Arthur,46,12,7
The Life Aquatic with Steve Zissou,62,13,8
National Treasure,39,10,7
Shark Tale,48,19,6
Sky Captain and the World of Tomorrow,64,24,7
Team America: World Police,64,12,8
Thunderbirds,36,0,5
The Brothers Grimm,51,6,6
Chicken Little,48,19,6
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",75,59,7
Duma,82,1,8
Harry Potter and the Goblet of Fire,81,52,8
Into the Blue,45,3,6
King Kong,81,133,8
The Legend of Zorro,47,5,6
Robots,64,21,7
Sahara,41,7,6
Serenity,74,17,8
Zathura: A Space Adventure,67,5,7
Eragon,38,7,6
Happy Feet,77,43,7
Ice Age: The Meltdown,58,23,7
Pirates of the Caribbean: Dead Man's Chest,53,94,8
Poseidon,50,7,6
X-Men: The Last Stand,58,43,7
Battle for Terra,54,5,7
Beowulf,59,18,7
Bridge to Terabithia,74,11,8
The Golden Compass,51,37,7
Harry Potter and the Order of the Phoenix,71,55,8
Into the Wild,73,124,9
Meet the Robinsons,61,11,7
National Treasure: Book of Secrets,48,5,7
Pirates of the Caribbean: At World's End,50,63,8
The Seeker: The Dark Is Rising,38,0,5
Stardust,66,11,8
Sunshine,64,18,8
Australia,53,45,7
Beverly Hills Chihuahua,41,9,4
Bolt,67,30,7
The Children of Huang Shi,49,4,8
The Chronicles of Narnia: Prince Caspian,62,21,7
City of Ember,58,6,7
Fool's Gold,29,5,6
Indiana Jones and the Kingdom of the Crystal Skull,65,44,7
Jumper,35,6,7
The Mummy: Tomb of the Dragon Emperor,31,8,6
Nim's Island,55,4,6
Rambo,46,2,8
Star Wars: The Clone Wars,35,1,6
Land of the Lost,32,11,6
Night at the Museum: Battle of the Smithsonian,42,11,6
Race to Witch Mountain,52,1,6
Star Trek,82,101,8
Up,88,143,9
Valhalla Rising,61,13,6
102 Dalmatians,35,4,5
28 Days,46,1,6
Almost Famous,90,64,8
Bedazzled,49,4,6
Best in Show,78,25,8
Big Momma's House,33,9,6
Bring It On,52,9,6
Cecil B. DeMented,57,2,7
Charlie's Angels,52,39,6
Chuck & Buck,76,18,7
Citizen Toxie: The Toxic Avenger IV,41,1,7
Committed,44,3,6
Company Man,18,0,6
Coyote Ugly,27,8,6
Down to You,13,4,5
Drowning Mona,25,1,6
Duets,40,1,6
The Flintstones in Viva Rock Vegas,27,5,4
Happy Accidents,60,3,8
High Fidelity,79,25,8
The Ladies Man,22,1,6
Little Nicky,38,7,6
Loser,35,1,6
Lucky Numbers,31,2,5
"Me, Myself & Irene",49,6,7
Meet the Parents,73,22,7
Miss Congeniality,43,14,7
Next Friday,41,1,7
Nurse Betty,69,19,7
Nutty Professor II: The Klumps,38,14,5
"O Brother, Where Art Thou?",69,44,8
The Original Kings of Comedy,76,3,7
Psycho Beach Party,42,4,7
Ready to Rumble,23,1,6
The Replacements,30,0,7
Road Trip,55,11,7
Scary Movie,48,12,7
Shanghai Noon,77,8,7
Small Time Crooks,69,5,7
Snow Day,34,4,5
The Specials,38,0,6
State and Main,75,15,7
What Women Want,47,13,7
The Whole Nine Yards,47,5,7
Wonder Boys,73,66,8
America's Sweethearts,44,1,6
American Desi,50,0,7
American Pie 2,43,12,7
The Animal,43,5,5
Bandits,60,11,7
Black Knight,32,2,5
Bridget Jones's Diary,66,38,7
The Brothers,50,9,7
Bubble Boy,41,0,6
Cats & Dogs,47,5,6
Corky Romano,20,1,5
CQ,56,1,7
The Curse of the Jade Scorpion,52,1,7
Double Take,25,0,6
Down to Earth,32,3,6
Dr. Dolittle 2,49,8,5
Elvira's Haunted Hills,48,1,6
Evolution,40,1,6
Festival in Cannes,46,0,6
Freddy Got Fingered,13,12,5
Get Over It,52,1,6
Ghost World,88,85,8
Head Over Heels,27,0,6
Heartbreakers,47,4,7
Hedwig and the Angry Inch,85,61,8
How High,29,0,7
Jay and Silent Bob Strike Back,51,3,7
Jimmy Neutron: Boy Genius,65,6,6
Joe Dirt,20,1,6
Joe Somebody,42,1,6
Josie and the Pussycats,47,5,6
Just Visiting,38,0,6
Kate & Leopold,44,6,7
Kingdom Come,48,6,6
Legally Blonde,59,18,7
The Lost Skeleton of Cadavra,45,2,8
Lovely & Amazing,75,17,7
Made,62,1,7
The Man Who Wasn't There,73,66,8
Max Keeble's Big Move,40,2,6
No Such Thing,36,4,7
Not Another Teen Movie,32,5,6
